timestamp,flight_id,gate,aircraft_type,weather_condition,baggage_delay_minutes,fuel_trucks_available,staff_availability,runway_congestion,arrival_delay_minutes,taxi_time_minutes,scheduled_turnaround_minutes,passenger_count,peak_hour,delay_probability,actual_turnaround_delay_minutes
2025-01-01 09:52:00,UK283,D3,ATR72,Clear,19,2,Medium,High,18,20,33,61,1,0.369,14
2025-01-01 10:04:00,AI666,C26,B737,Clear,9,6,Medium,Low,0,8,45,188,0,0.043,0
2025-01-01 10:14:00,LH329,C26,A320,Windy,23,2,High,High,0,14,52,157,0,0.279,4
2025-01-01 10:21:00,EK354,A27,ATR72,Windy,12,3,Low,Medium,8,16,28,71,0,0.256,14
2025-01-01 10:32:00,LH837,A31,B777,Windy,4,4,High,Medium,0,17,117,312,0,0.097,2
2025-01-01 10:45:00,EK377,D9,B777,Clear,14,5,Medium,Medium,3,10,83,306,0,0.093,1
2025-01-01 10:53:00,6E685,D19,A350,Clear,3,4,High,Low,0,11,68,333,0,0.035,4
2025-01-01 11:09:00,EK222,B34,A320,Windy,3,2,Medium,Medium,7,11,61,164,0,0.204,4
2025-01-01 11:26:00,AF789,C1,ATR72,Storm,7,7,Medium,Low,18,14,33,73,0,0.265,17
2025-01-01 11:30:00,AI283,A21,B737,Rain,11,6,High,Low,8,7,60,172,0,0.134,5
2025-01-01 11:46:00,SG923,B30,A321,Fog,6,7,Medium,Low,10,7,99,198,0,0.162,6
2025-01-01 12:02:00,AF147,B13,A320,Rain,13,1,Medium,High,17,19,58,152,0,0.357,20
2025-01-01 12:08:00,LH170,C28,A321,Windy,1,5,Low,Low,10,8,77,205,0,0.196,0
2025-01-01 12:23:00,BA986,A29,ATR72,Clear,5,6,Low,Low,13,9,32,65,0,0.193,17
2025-01-01 12:33:00,IX892,D10,B787,Windy,9,5,Medium,Low,4,14,115,296,0,0.087,6
2025-01-01 12:42:00,IX435,B8,A320,Windy,6,4,Medium,Medium,22,13,68,157,0,0.156,6
2025-01-01 12:50:00,6E666,B13,B737,Windy,6,5,Medium,Medium,16,14,45,193,0,0.141,9
2025-01-01 12:56:00,BA108,D8,A320,Clear,4,6,Low,Low,11,13,70,178,0,0.192,3
2025-01-01 13:03:00,EK305,A17,A321,Windy,1,8,Medium,Low,12,6,91,211,0,0.078,4
2025-01-01 13:19:00,IX677,C6,B737,Clear,8,4,Medium,Medium,14,12,66,193,0,0.114,11
2025-01-01 13:28:00,IX857,D20,A320,Clear,12,2,Medium,High,12,23,43,167,0,0.282,4
2025-01-01 13:33:00,QR348,B13,B777,Clear,11,3,High,Medium,26,13,84,313,0,0.156,6
2025-01-01 13:38:00,BA477,A25,A350,Rain,10,5,High,Low,12,5,114,337,0,0.14,12
2025-01-01 13:48:00,QR605,C18,B777,Clear,6,2,Low,High,1,20,85,306,0,0.353,11
2025-01-01 13:53:00,SG850,C8,B787,Clear,4,8,High,Low,12,8,84,302,0,0.066,0
2025-01-01 14:02:00,AF878,B30,B737,Clear,8,5,Medium,Low,3,7,46,175,0,0.048,5
2025-01-01 14:19:00,SG254,B30,B787,Windy,8,8,High,Low,4,9,110,234,0,0.076,5
2025-01-01 14:28:00,AI519,D25,ATR72,Clear,11,8,Low,Low,2,12,26,67,0,0.18,10
2025-01-01 14:41:00,AI338,E24,A320,Clear,13,3,Medium,Medium,5,10,54,147,0,0.097,1
2025-01-01 14:49:00,AF454,D27,ATR72,Windy,8,5,Medium,Low,21,9,38,61,0,0.124,9
2025-01-01 15:05:00,AI443,A28,A320,Clear,5,7,Medium,Low,5,15,47,142,0,0.061,7
2025-01-01 15:09:00,AI877,B17,A321,Fog,2,8,Low,Low,11,14,107,216,0,0.288,12
2025-01-01 15:24:00,LH969,E19,A320,Fog,2,7,Low,Low,9,12,64,157,0,0.279,17
2025-01-01 15:35:00,IX206,B3,A350,Clear,7,4,Low,Low,24,13,94,280,0,0.235,7
2025-01-01 15:47:00,SG642,C28,A320,Clear,3,6,Medium,Low,0,11,47,144,0,0.035,0
2025-01-01 15:52:00,SG529,A31,A320,Rain,13,8,Low,Low,23,12,43,174,0,0.31,5
2025-01-01 16:10:00,BA161,C22,B737,Clear,7,2,Medium,Medium,15,11,70,166,0,0.213,15
2025-01-01 16:20:00,UK828,A33,A320,Clear,11,5,Low,Medium,5,11,69,157,0,0.214,7
2025-01-01 16:25:00,IX195,E29,A350,Clear,10,3,Medium,Medium,13,10,108,278,0,0.112,2
2025-01-01 16:37:00,AI337,A6,ATR72,Fog,7,8,Low,Low,21,8,25,72,0,0.317,4
2025-01-01 16:45:00,AF522,D13,B777,Clear,12,4,High,Medium,0,17,66,350,0,0.093,2
2025-01-01 17:02:00,EK569,B20,A350,Windy,8,0,High,High,3,18,99,300,1,0.321,9
2025-01-01 17:16:00,6E694,B3,A320,Rain,15,3,Medium,High,18,16,60,146,1,0.319,7
2025-01-01 17:29:00,6E617,B19,ATR72,Clear,13,3,Medium,High,16,22,28,67,1,0.254,0
2025-01-01 17:47:00,UK752,E15,A350,Clear,14,4,Low,Medium,7,15,96,343,1,0.293,8
2025-01-01 18:04:00,LH176,D20,B737,Storm,7,0,High,High,27,14,70,204,1,0.522,12
2025-01-01 18:13:00,QR681,C18,B737,Clear,4,5,Medium,Medium,9,13,56,177,1,0.153,10
2025-01-01 18:26:00,AI545,A32,A350,Windy,12,5,Low,Medium,4,12,117,313,1,0.297,8
2025-01-01 18:33:00,UK342,B15,ATR72,Clear,9,3,Medium,Medium,0,14,36,66,1,0.141,12
2025-01-01 18:48:00,IX367,C23,A320,Clear,6,4,Low,Medium,15,13,69,150,1,0.295,13
2025-01-01 18:53:00,EK920,D22,A320,Clear,8,1,Medium,High,0,17,45,153,1,0.289,16
2025-01-01 18:57:00,LH817,B33,B787,Clear,12,2,Medium,High,18,19,74,264,1,0.352,8
2025-01-01 19:11:00,EK425,D17,B737,Clear,15,0,Medium,High,24,13,69,200,1,0.365,17
2025-01-01 19:18:00,BA378,D1,A320,Rain,13,3,Medium,High,17,21,43,158,1,0.321,10
2025-01-01 19:34:00,SG176,B23,ATR72,Clear,19,1,Low,High,22,17,27,69,1,0.495,24
2025-01-01 19:42:00,SG239,C35,A320,Clear,7,3,Medium,Medium,5,12,51,186,1,0.147,10
2025-01-01 19:47:00,QR211,C15,A320,Clear,19,0,Low,High,4,21,63,140,1,0.452,27
2025-01-01 20:04:00,UK208,D9,B737,Rain,18,2,High,High,8,15,57,166,1,0.396,10
2025-01-01 20:11:00,UK560,D3,B737,Clear,13,4,Low,Medium,0,15,54,171,1,0.272,4
2025-01-01 20:28:00,BA421,C30,B787,Windy,18,3,Medium,High,7,21,70,284,1,0.26,17
2025-01-01 20:33:00,LH223,B13,A321,Clear,15,3,Medium,Medium,16,13,100,238,1,0.197,0
2025-01-01 20:43:00,AF466,E28,A320,Clear,5,4,Medium,Medium,0,9,48,184,1,0.123,5
2025-01-01 20:51:00,SG562,C5,B737,Clear,7,4,Medium,Medium,3,14,50,199,1,0.145,3
2025-01-01 21:02:00,IX574,A1,A350,Rain,2,7,Medium,Low,11,8,75,311,0,0.125,3
2025-01-01 21:16:00,IX972,E22,B737,Clear,15,4,Medium,Medium,2,18,46,207,0,0.107,12
2025-01-01 21:33:00,6E192,B33,A350,Clear,7,3,Medium,Medium,0,13,88,289,0,0.075,9
2025-01-01 21:42:00,UK926,C21,A321,Clear,5,5,Medium,Low,12,14,117,234,0,0.079,0
2025-01-01 21:48:00,IX946,D18,A321,Rain,4,8,Medium,Low,17,11,107,238,0,0.151,1
2025-01-01 21:57:00,QR141,B6,A321,Clear,8,2,Medium,Medium,4,8,82,224,0,0.179,11
2025-01-01 22:06:00,SG955,D18,ATR72,Clear,5,6,Medium,Low,0,10,30,67,0,0.038,0
2025-01-01 22:13:00,EK251,B21,A320,Clear,13,4,Low,Low,0,7,53,150,0,0.17,9
2025-01-01 22:27:00,6E828,E2,ATR72,Clear,12,1,Medium,High,0,18,39,70,0,0.24,3
2025-01-01 22:35:00,SG464,A15,B737,Windy,4,4,Low,Medium,21,14,48,203,0,0.271,9
2025-01-01 22:50:00,LH625,D35,A320,Windy,14,1,Medium,High,11,20,48,144,0,0.301,7
2025-01-01 23:08:00,AI793,A17,A321,Clear,8,7,Medium,Low,0,10,119,190,0,0.045,2
2025-01-01 23:22:00,IX366,D4,B787,Clear,9,5,High,Medium,10,14,108,243,0,0.109,0
2025-01-01 23:36:00,UK131,C32,A320,Clear,1,4,High,Low,2,16,60,161,0,0.046,0
2025-01-01 23:41:00,LH975,D7,A321,Clear,6,6,Low,Low,0,9,108,237,0,0.158,7
2025-01-01 23:54:00,BA669,C15,A350,Clear,12,6,Medium,Low,8,8,96,308,0,0.072,19
2025-01-02 00:08:00,AF355,D33,A320,Rain,7,5,Medium,Low,7,15,41,149,0,0.137,2
2025-01-02 00:14:00,6E573,E17,ATR72,Storm,13,5,Low,Low,16,15,28,60,0,0.394,16
2025-01-02 00:26:00,6E923,C14,A320,Storm,12,6,High,Low,38,7,55,182,0,0.319,20
2025-01-02 00:41:00,UK224,D4,A320,Rain,1,4,High,Low,3,8,46,170,0,0.1,7
2025-01-02 00:48:00,AI163,D25,B787,Windy,10,2,High,Medium,6,13,106,274,0,0.22,12
2025-01-02 00:54:00,SG233,A35,A350,Rain,9,7,Low,Low,20,16,75,292,0,0.3,11
2025-01-02 01:05:00,SG943,D23,B737,Clear,4,4,Medium,Low,9,7,67,161,0,0.056,0
2025-01-02 01:15:00,LH481,D17,B787,Windy,10,6,High,Low,6,7,106,242,0,0.082,0
2025-01-02 01:23:00,6E696,D30,A350,Clear,7,7,Medium,Low,14,14,117,283,0,0.089,4
2025-01-02 01:41:00,QR365,B25,A320,Clear,18,3,High,Medium,4,12,61,144,0,0.108,0
2025-01-02 01:55:00,6E122,B26,B787,Rain,5,7,Low,Low,19,15,66,241,0,0.286,6
2025-01-02 02:10:00,6E302,E5,B737,Clear,11,5,Medium,Medium,13,13,62,203,0,0.12,0
2025-01-02 02:22:00,BA928,C20,A350,Clear,7,8,Medium,Low,11,7,98,347,0,0.068,1
2025-01-02 02:29:00,UK194,A34,B787,Fog,2,5,Low,Low,0,13,91,221,0,0.256,10
2025-01-02 02:43:00,EK225,C34,A320,Clear,16,5,Medium,Medium,11,12,65,178,0,0.124,4
2025-01-02 02:52:00,AI572,E3,A320,Clear,12,4,Medium,Medium,12,14,50,162,0,0.121,11
2025-01-02 03:09:00,AI272,A10,A320,Fog,5,4,Medium,Low,7,10,68,170,0,0.157,7
2025-01-02 03:25:00,QR543,D31,A321,Windy,5,4,Medium,Medium,0,14,112,217,0,0.094,1
2025-01-02 03:41:00,LH608,B8,A350,Windy,6,7,Medium,Low,4,15,117,250,0,0.082,10
2025-01-02 03:45:00,AI491,A34,B787,Clear,5,4,Medium,Medium,0,15,74,282,0,0.074,6
2025-01-02 03:52:00,LH276,C22,ATR72,Clear,9,3,High,Medium,0,11,32,67,0,0.076,0
2025-01-02 04:09:00,EK319,A30,A321,Rain,11,5,Medium,Medium,25,11,93,210,0,0.216,2
2025-01-02 04:13:00,UK381,E25,A321,Windy,14,2,Medium,High,15,12,94,187,0,0.297,20
2025-01-02 04:29:00,IX556,A19,A320,Clear,6,5,High,Low,0,5,54,142,0,0.031,5
2025-01-02 04:38:00,UK135,B24,A320,Clear,9,3,High,Medium,6,10,44,141,0,0.091,1
2025-01-02 04:48:00,QR734,D28,A320,Clear,5,6,Low,Low,4,8,58,176,0,0.166,0
2025-01-02 04:56:00,QR351,A22,B777,Storm,17,4,High,Low,12,11,92,387,0,0.265,0
2025-01-02 05:01:00,IX610,A15,A320,Clear,0,4,Low,Low,5,11,52,158,0,0.163,14
2025-01-02 05:08:00,LH663,B29,A321,Windy,8,4,Low,Low,6,7,108,233,0,0.198,16
2025-01-02 05:26:00,BA162,C28,B737,Clear,13,4,Medium,Medium,0,13,50,174,0,0.088,4
2025-01-02 05:39:00,6E386,E33,A320,Windy,5,8,Medium,Low,13,13,53,173,0,0.102,2
2025-01-02 05:57:00,LH240,B14,B777,Fog,5,7,High,Low,27,13,77,364,0,0.218,9
2025-01-02 06:12:00,LH304,A26,B777,Windy,3,4,Medium,Medium,10,15,77,321,1,0.18,0
2025-01-02 06:21:00,AF355,D29,A320,Clear,16,1,High,High,1,16,54,149,1,0.308,6
2025-01-02 06:28:00,AF913,B2,A321,Windy,14,2,Medium,High,18,15,65,229,1,0.371,20
2025-01-02 06:42:00,AI491,D31,A320,Rain,6,5,Medium,Medium,18,13,43,146,1,0.249,12
2025-01-02 06:53:00,EK591,A9,A320,Clear,15,0,Medium,High,10,9,48,146,1,0.318,4
2025-01-02 07:03:00,AF900,B12,ATR72,Rain,16,3,High,High,0,15,26,69,1,0.269,10
2025-01-02 07:21:00,BA452,D27,B737,Windy,11,2,Medium,High,1,18,60,207,1,0.322,18
2025-01-02 07:39:00,QR614,D18,A321,Fog,11,3,High,High,11,15,117,201,1,0.322,0
2025-01-02 07:53:00,EK497,A2,ATR72,Windy,15,1,High,High,14,20,26,74,1,0.371,9
2025-01-02 08:04:00,IX284,E29,A320,Clear,4,4,Low,Medium,5,15,69,171,1,0.266,11
2025-01-02 08:10:00,AI426,E33,B787,Clear,16,0,Medium,High,14,14,113,314,1,0.341,12
2025-01-02 08:18:00,QR324,D22,A320,Clear,16,4,High,Medium,3,9,60,162,1,0.156,2
2025-01-02 08:24:00,AI930,B33,A320,Fog,6,4,High,Medium,18,10,62,174,1,0.277,12
2025-01-02 08:31:00,IX159,C3,A321,Rain,7,2,Medium,Medium,0,14,87,196,1,0.303,13
2025-01-02 08:46:00,BA642,D31,B777,Windy,17,0,Medium,High,2,14,117,384,1,0.331,15
2025-01-02 08:58:00,EK885,B27,A320,Clear,16,3,Medium,Medium,5,14,44,171,1,0.17,4
2025-01-02 09:10:00,QR338,B20,B737,Clear,3,5,Medium,Medium,12,15,66,176,1,0.163,10
2025-01-02 09:18:00,UK202,B33,A350,Rain,9,2,Medium,Medium,16,15,93,296,1,0.354,23
2025-01-02 09:33:00,SG772,E33,A320,Clear,18,0,Medium,High,5,13,69,169,1,0.318,13
2025-01-02 09:46:00,SG372,D26,B737,Clear,16,1,Medium,High,10,21,57,160,1,0.342,13
2025-01-02 09:56:00,AF935,A21,A320,Windy,23,1,Medium,High,0,18,42,162,1,0.346,9
2025-01-02 10:14:00,AI882,C2,B737,Clear,2,2,Medium,Medium,3,8,40,179,0,0.163,5
2025-01-02 10:27:00,SG689,C9,B737,Clear,7,8,Medium,Low,13,6,69,205,0,0.072,8
2025-01-02 10:37:00,LH463,B8,B737,Clear,7,5,Medium,Low,13,9,69,181,0,0.077,0
2025-01-02 10:46:00,UK280,D4,ATR72,Clear,10,1,Medium,High,0,18,36,76,0,0.235,18
2025-01-02 10:53:00,SG706,C28,B787,Storm,4,4,Low,Low,28,6,85,319,0,0.392,16
2025-01-02 10:59:00,EK925,A35,A320,Clear,9,6,Low,Low,0,10,60,182,0,0.167,10
2025-01-02 11:11:00,EK705,D29,A320,Clear,0,6,Medium,Low,15,11,56,178,0,0.071,7
2025-01-02 11:22:00,AI820,A27,ATR72,Clear,5,6,Medium,Low,0,12,26,75,0,0.042,1
2025-01-02 11:27:00,EK681,D14,B737,Rain,7,4,High,Low,20,13,41,167,0,0.17,18
2025-01-02 11:43:00,QR245,B4,B737,Clear,7,7,Low,Low,0,10,40,177,0,0.162,8
2025-01-02 11:47:00,QR292,A26,ATR72,Windy,11,6,Low,Low,0,10,29,76,0,0.193,17
2025-01-02 12:04:00,BA655,B1,A321,Clear,6,4,High,Low,12,12,95,226,0,0.077,8
2025-01-02 12:09:00,IX279,D13,A320,Clear,3,7,Medium,Low,0,10,67,180,0,0.034,0
2025-01-02 12:15:00,BA138,E12,B737,Clear,5,7,High,Low,7,16,61,161,0,0.068,5
2025-01-02 12:29:00,6E157,E6,A320,Rain,9,8,Medium,Low,21,7,45,149,0,0.166,5
2025-01-02 12:35:00,SG716,E35,B737,Fog,19,2,Medium,Medium,15,16,63,186,0,0.348,19
2025-01-02 12:51:00,SG120,B32,A321,Clear,1,8,Medium,Low,7,11,73,234,0,0.051,4
2025-01-02 13:05:00,AF589,A10,B777,Windy,6,5,Medium,Medium,0,11,69,328,0,0.091,3
2025-01-02 13:15:00,AI439,D21,A320,Fog,14,5,Low,Medium,30,17,49,182,0,0.4,21
2025-01-02 13:28:00,QR306,B15,A320,Clear,5,3,Low,Medium,1,13,45,149,0,0.193,3
2025-01-02 13:33:00,UK448,D6,A320,Rain,9,8,Low,Low,17,12,50,162,0,0.284,17
2025-01-02 13:43:00,UK921,D1,B787,Clear,3,4,High,Low,12,8,94,283,0,0.064,0
2025-01-02 13:53:00,EK160,E28,B787,Fog,9,5,Medium,Low,25,12,107,223,0,0.219,8
2025-01-02 14:06:00,AI251,C17,A320,Rain,11,5,Low,Medium,13,9,67,155,0,0.299,4
2025-01-02 14:17:00,QR821,B26,B737,Fog,6,5,Medium,Low,16,10,70,196,0,0.184,11
2025-01-02 14:29:00,UK892,E19,A350,Windy,9,2,Medium,Medium,11,12,77,344,0,0.23,20
2025-01-02 14:37:00,6E966,B2,B737,Clear,10,4,Medium,Medium,23,14,43,204,0,0.148,4
2025-01-02 14:49:00,AF981,B35,A321,Fog,3,5,Medium,Low,4,7,92,207,0,0.138,0
2025-01-02 15:06:00,EK174,B6,A320,Clear,8,5,Medium,Low,0,11,40,163,0,0.046,9
2025-01-02 15:10:00,EK821,B21,ATR72,Clear,9,2,High,Medium,21,9,34,66,0,0.231,8
2025-01-02 15:24:00,LH700,C2,B787,Rain,4,8,Low,Low,19,4,79,315,0,0.264,1
2025-01-02 15:39:00,6E444,A19,B787,Rain,6,4,Medium,Low,24,11,101,231,0,0.175,0
2025-01-02 15:44:00,IX430,C27,B737,Fog,5,2,Medium,Medium,29,11,62,172,0,0.347,8
2025-01-02 15:58:00,UK261,D2,A320,Clear,12,5,Medium,Low,13,14,65,164,0,0.097,0
2025-01-02 16:16:00,LH910,D12,A320,Rain,8,3,Medium,High,13,18,43,180,0,0.233,11
2025-01-02 16:28:00,BA764,A22,B737,Rain,15,2,High,Medium,0,15,64,166,0,0.262,3
2025-01-02 16:44:00,EK278,E29,B787,Clear,13,2,High,Medium,1,10,78,255,0,0.185,3
2025-01-02 16:52:00,AF810,B1,B787,Clear,1,5,Medium,Low,5,8,113,300,0,0.04,6
2025-01-02 17:08:00,QR905,C17,A350,Clear,12,3,Medium,Medium,18,14,90,336,1,0.198,11
2025-01-02 17:22:00,EK328,E34,B737,Clear,20,1,Medium,High,0,12,56,194,1,0.307,13
2025-01-02 17:31:00,QR934,B18,ATR72,Storm,4,3,Medium,Medium,42,17,27,74,1,0.418,29
2025-01-02 17:36:00,UK487,B33,A320,Windy,10,4,Medium,Medium,11,11,55,173,1,0.191,12
2025-01-02 17:44:00,IX851,C16,B787,Rain,5,4,Medium,Medium,0,10,75,242,1,0.191,0
2025-01-02 17:54:00,IX230,A10,B737,Storm,15,5,Medium,Medium,37,8,69,176,1,0.412,24
2025-01-02 18:00:00,UK846,A30,ATR72,Clear,13,5,Medium,Medium,0,12,26,71,1,0.146,2
2025-01-02 18:11:00,AI818,E8,A320,Rain,17,0,High,High,2,16,46,161,1,0.379,11
2025-01-02 18:15:00,QR500,D31,B737,Clear,11,4,High,Medium,3,11,43,185,1,0.148,4
2025-01-02 18:30:00,QR133,E1,ATR72,Rain,18,5,Low,Medium,8,10,31,78,1,0.362,17
2025-01-02 18:48:00,UK716,D25,A320,Clear,14,0,Low,High,0,23,52,166,1,0.433,15
2025-01-02 19:03:00,EK928,C15,B737,Fog,13,3,High,High,17,22,59,177,1,0.356,4
2025-01-02 19:11:00,QR326,A22,B737,Clear,11,2,Medium,Medium,21,13,51,179,1,0.302,4
2025-01-02 19:23:00,QR206,E4,B737,Clear,7,2,High,Medium,6,17,51,172,1,0.259,8
2025-01-02 19:39:00,BA244,A25,A320,Rain,18,1,Low,High,0,12,62,142,1,0.488,16
2025-01-02 19:45:00,EK863,C10,B737,Clear,20,0,Medium,High,5,18,44,197,1,0.331,14
2025-01-02 19:57:00,6E343,E6,A320,Windy,19,1,Medium,High,2,19,56,173,1,0.345,8
2025-01-02 20:15:00,EK427,C1,A320,Clear,22,1,High,High,0,14,64,184,1,0.315,15
2025-01-02 20:20:00,UK751,B29,B737,Rain,10,5,Low,Medium,14,13,52,181,1,0.367,8
2025-01-02 20:37:00,6E941,A8,B737,Clear,21,0,Medium,High,12,21,45,199,1,0.359,11
2025-01-02 20:51:00,EK557,D4,B787,Clear,11,4,Medium,Medium,6,16,111,235,1,0.166,13
2025-01-02 20:59:00,AI371,E10,B737,Clear,15,0,High,High,0,22,40,187,1,0.314,15
2025-01-02 21:16:00,SG355,D20,B737,Clear,7,4,High,Medium,8,8,59,210,0,0.088,9
2025-01-02 21:30:00,6E458,A29,ATR72,Clear,9,1,High,High,3,17,30,74,0,0.24,15
2025-01-02 21:42:00,IX905,A14,A320,Clear,7,7,High,Low,10,10,58,176,0,0.07,2
2025-01-02 21:55:00,6E837,A33,A320,Clear,7,5,Low,Low,3,5,63,162,0,0.162,1
2025-01-02 22:02:00,AI149,E3,A320,Clear,7,5,Low,Low,3,10,60,158,0,0.171,4
2025-01-02 22:08:00,LH548,E5,B777,Windy,6,2,Low,Medium,3,12,119,314,0,0.321,12
2025-01-02 22:17:00,LH270,D11,A321,Fog,11,4,Medium,Medium,14,10,96,180,0,0.216,0
2025-01-02 22:33:00,LH604,D10,B787,Clear,17,6,High,Low,0,9,115,283,0,0.063,5
2025-01-02 22:39:00,LH459,E11,B737,Windy,8,8,High,Low,11,9,47,203,0,0.096,5
2025-01-02 22:51:00,AF484,E27,A350,Windy,7,6,Medium,Low,4,11,87,268,0,0.077,9
2025-01-02 23:07:00,6E948,E12,A321,Clear,6,8,Medium,Low,4,14,73,209,0,0.059,8
2025-01-02 23:25:00,BA907,C20,B737,Rain,16,5,High,Medium,0,15,63,203,0,0.164,10
2025-01-02 23:37:00,QR766,E21,A321,Clear,3,5,Medium,Low,7,13,88,189,0,0.059,0
2025-01-02 23:55:00,SG266,A2,A320,Clear,11,3,Low,Medium,11,9,70,173,0,0.227,8
2025-01-02 23:59:00,BA175,D10,B737,Clear,8,8,Medium,Low,0,8,59,178,0,0.041,0
2025-01-03 00:12:00,AI401,E33,A320,Windy,13,4,Medium,Medium,12,10,51,179,0,0.138,9
2025-01-03 00:21:00,AI426,E22,ATR72,Windy,3,6,Medium,Low,0,9,31,77,0,0.054,8
2025-01-03 00:32:00,IX207,E12,B737,Clear,12,3,Medium,Medium,4,11,69,202,0,0.093,1
2025-01-03 00:36:00,6E450,D18,A320,Clear,7,6,Low,Low,0,9,47,150,0,0.161,5
2025-01-03 00:41:00,UK484,A5,B777,Storm,1,6,High,Low,16,12,74,338,0,0.243,9
2025-01-03 00:59:00,UK849,D35,B777,Clear,5,7,Medium,Low,0,15,75,362,0,0.047,0
2025-01-03 01:08:00,6E660,A28,B787,Clear,8,4,Medium,Low,1,10,74,256,0,0.047,4
2025-01-03 01:26:00,6E446,E8,A320,Fog,1,6,High,Low,15,14,60,144,0,0.177,17
2025-01-03 01:43:00,QR728,E25,ATR72,Rain,6,7,Low,Low,12,17,39,69,0,0.272,17
2025-01-03 01:59:00,BA821,A11,B787,Windy,12,0,Medium,High,2,20,79,221,0,0.271,4
2025-01-03 02:07:00,AI541,D26,A321,Rain,11,7,High,Low,14,12,109,209,0,0.16,4
2025-01-03 02:14:00,UK721,D9,B777,Rain,7,5,Medium,Medium,23,12,104,305,0,0.203,5
2025-01-03 02:18:00,LH260,A3,B777,Clear,14,1,High,High,6,14,77,327,0,0.254,6
2025-01-03 02:25:00,AI203,E9,B787,Clear,4,5,Medium,Low,11,8,98,256,0,0.063,0
2025-01-03 02:43:00,EK310,A16,A320,Clear,2,2,Low,Medium,0,17,59,177,0,0.291,11
2025-01-03 02:56:00,SG519,E8,A321,Storm,9,4,Medium,Low,27,10,103,187,0,0.287,11
2025-01-03 03:01:00,AF839,D4,B787,Windy,11,7,Medium,Low,8,14,76,226,0,0.103,7
2025-01-03 03:06:00,AF371,B27,A320,Clear,4,4,High,Low,1,8,40,171,0,0.035,8
2025-01-03 03:21:00,IX404,B17,A320,Rain,13,1,Medium,High,5,18,49,159,0,0.322,12
2025-01-03 03:32:00,SG198,C18,B737,Clear,8,5,High,Low,20,13,51,160,0,0.106,4
